Ausbildungsfeld,Canton,Ausbildungstyp,Geschlecht_Total,Geschlecht_Vollschulisch,Geschlecht_Dual,Mann_Total,Mann_Vollschulisch,Mann_Dual,Frau_Total,Frau_Vollschulisch,Frau_Dual
Gesundheits- und Sozialwesen o.n.A.,ZG,nReglementiert,0,0,0,0,0,0,0,0,0
Gesundheits- und Sozialwesen o.n.A.,FR,abt-total,24,0,24,2,0,2,22,0,22
Gesundheits- und Sozialwesen o.n.A.,FR,EFZ,0,0,0,0,0,0,0,0,0
Gesundheits- und Sozialwesen o.n.A.,FR,EBA,24,0,24,2,0,2,22,0,22
Gesundheits- und Sozialwesen o.n.A.,FR,nReglementiert,0,0,0,0,0,0,0,0,0
Gesundheits- und Sozialwesen o.n.A.,SO,abt-total,40,0,40,4,0,4,36,0,36
Gesundheits- und Sozialwesen o.n.A.,SO,EFZ,0,0,0,0,0,0,0,0,0
Gesundheits- und Sozialwesen o.n.A.,SO,EBA,40,0,40,4,0,4,36,0,36
Gesundheits- und Sozialwesen o.n.A.,SO,nReglementiert,0,0,0,0,0,0,0,0,0
Gesundheits- und Sozialwesen o.n.A.,BS,abt-total,53,0,53,10,0,10,43,0,43
Gesundheits- und Sozialwesen o.n.A.,BS,EFZ,0,0,0,0,0,0,0,0,0
Gesundheits- und Sozialwesen o.n.A.,BS,EBA,53,0,53,10,0,10,43,0,43
Gesundheits- und Sozialwesen o.n.A.,BS,nReglementiert,0,0,0,0,0,0,0,0,0
Gesundheits- und Sozialwesen o.n.A.,BL,abt-total,40,0,40,5,0,5,35,0,35
Gesundheits- und Sozialwesen o.n.A.,BL,EFZ,0,0,0,0,0,0,0,0,0
Gesundheits- und Sozialwesen o.n.A.,BL,EBA,40,0,40,5,0,5,35,0,35
Gesundheits- und Sozialwesen o.n.A.,Bl,nReglementiert,0,0,0,0,0,0,0,0,0
Gesundheits- und Sozialwesen o.n.A.,SH,abt-total,9,0,9,1,0,1,8,0,8
Gesundheits- und Sozialwesen o.n.A.,SH,EFZ,0,0,0,0,0,0,0,0,0
Gesundheits- und Sozialwesen o.n.A.,SH,EBA,9,0,9,1,0,1,8,0,8
Gesundheits- und Sozialwesen o.n.A.,SH,nReglementiert,0,0,0,0,0,0,0,0,0
Gesundheits- und Sozialwesen o.n.A.,AR,abt-total,14,0,14,3,0,3,11,0,11
Gesundheits- und Sozialwesen o.n.A.,AR,EFZ,0,0,0,0,0,0,0,0,0
Gesundheits- und Sozialwesen o.n.A.,AR,EBA,14,0,14,3,0,3,11,0,11
Gesundheits- und Sozialwesen o.n.A.,AR,nReglementiert,0,0,0,0,0,0,0,0,0
Gesundheits- und Sozialwesen o.n.A.,AI,abt-total,1,0,1,0,0,0,1,0,1
Gesundheits- und Sozialwesen o.n.A.,AI,EFZ,0,0,0,0,0,0,0,0,0
Gesundheits- und Sozialwesen o.n.A.,AI,EBA,1,0,1,0,0,0,1,0,1
Gesundheits- und Sozialwesen o.n.A.,AI,nReglementiert,0,0,0,0,0,0,0,0,0
Gesundheits- und Sozialwesen o.n.A.,SG,abt-total,33,0,33,4,0,4,29,0,29
Gesundheits- und Sozialwesen o.n.A.,SG,EFZ,0,0,0,0,0,0,0,0,0
Gesundheits- und Sozialwesen o.n.A.,SG,EBA,33,0,33,4,0,4,29,0,29
Gesundheits- und Sozialwesen o.n.A.,SG,nReglementiert,0,0,0,0,0,0,0,0,0
Gesundheits- und Sozialwesen o.n.A.,GR,abt-total,18,0,18,0,0,0,18,0,18
Gesundheits- und Sozialwesen o.n.A.,GR,EFZ,0,0,0,0,0,0,0,0,0
Gesundheits- und Sozialwesen o.n.A.,GR,EBA,18,0,18,0,0,0,18,0,18
Gesundheits- und Sozialwesen o.n.A.,GR,nReglementiert,0,0,0,0,0,0,0,0,0
Gesundheits- und Sozialwesen o.n.A.,AG,abt-total,97,0,97,12,0,12,85,0,85
Gesundheits- und Sozialwesen o.n.A.,AG,EFZ,0,0,0,0,0,0,0,0,0
Gesundheits- und Sozialwesen o.n.A.,AG,EBA,97,0,97,12,0,12,85,0,85
Gesundheits- und Sozialwesen o.n.A.,AG,nReglementiert,0,0,0,0,0,0,0,0,0
Gesundheits- und Sozialwesen o.n.A.,TG,abt-total,31,0,31,4,0,4,27,0,27
Gesundheits- und Sozialwesen o.n.A.,TG,EFZ,0,0,0,0,0,0,0,0,0
Gesundheits- und Sozialwesen o.n.A.,TG,EBA,31,0,31,4,0,4,27,0,27
Gesundheits- und Sozialwesen o.n.A.,TG,nReglementiert,0,0,0,0,0,0,0,0,0
Gesundheits- und Sozialwesen o.n.A.,TI,abt-total,81,0,81,24,0,24,57,0,57
Gesundheits- und Sozialwesen o.n.A.,TI,EFZ,0,0,0,0,0,0,0,0,0
Gesundheits- und Sozialwesen o.n.A.,TI,EBA,81,0,81,24,0,24,57,0,57
Gesundheits- und Sozialwesen o.n.A.,TI,nReglementiert,0,0,0,0,0,0,0,0,0
Gesundheits- und Sozialwesen o.n.A.,VD,abt-total,18,0,18,3,0,3,15,0,15
Gesundheits- und Sozialwesen o.n.A.,VD,EFZ,0,0,0,0,0,0,0,0,0
Gesundheits- und Sozialwesen o.n.A.,VD,EBA,18,0,18,3,0,3,15,0,15
Gesundheits- und Sozialwesen o.n.A.,VD,nReglementiert,0,0,0,0,0,0,0,0,0
Gesundheits- und Sozialwesen o.n.A.,VS,abt-total,15,0,15,4,0,4,11,0,11
Gesundheits- und Sozialwesen o.n.A.,VS,EFZ,0,0,0,0,0,0,0,0,0
Gesundheits- und Sozialwesen o.n.A.,VS,EBA,15,0,15,4,0,4,11,0,11
Gesundheits- und Sozialwesen o.n.A.,VS,nReglementiert,0,0,0,0,0,0,0,0,0
Gesundheits- und Sozialwesen o.n.A.,NE,abt-total,15,0,15,5,0,5,10,0,10
Gesundheits- und Sozialwesen o.n.A.,NE,EFZ,0,0,0,0,0,0,0,0,0
Gesundheits- und Sozialwesen o.n.A.,NE,EBA,15,0,15,5,0,5,10,0,10
Gesundheits- und Sozialwesen o.n.A.,NE,nReglementiert,0,0,0,0,0,0,0,0,0
Gesundheits- und Sozialwesen o.n.A.,GE,abt-total,16,0,16,0,0,0,16,0,16
Gesundheits- und Sozialwesen o.n.A.,GE,EFZ,0,0,0,0,0,0,0,0,0
Gesundheits- und Sozialwesen o.n.A.,GE,EBA,16,0,16,0,0,0,16,0,16
Gesundheits- und Sozialwesen o.n.A.,GE,nReglementiert,0,0,0,0,0,0,0,0,0
Gesundheits- und Sozialwesen o.n.A.,JU,abt-total,12,0,12,4,0,4,8,0,8
Gesundheits- und Sozialwesen o.n.A.,JU,EFZ,0,0,0,0,0,0,0,0,0
Gesundheits- und Sozialwesen o.n.A.,JU,EBA,12,0,12,4,0,4,8,0,8
Gesundheits- und Sozialwesen o.n.A.,JU,nReglementiert,0,0,0,0,0,0,0,0,0
Gastgewerbe und Catering,,abt-total,3300,1,3299,1634,0,1634,1666,1,1665
Gastgewerbe und Catering,,EFZ,2784,0,2784,1354,0,1354,1430,0,1430
Gastgewerbe und Catering,,EBA,516,1,515,280,0,280,236,1,235
Gastgewerbe und Catering,,nReglementiert,0,0,0,0,0,0,0,0,0
Gastgewerbe und Catering,ZH,abt-total,554,0,554,277,0,277,277,0,277
Gastgewerbe und Catering,ZH,EFZ,486,0,486,241,0,241,245,0,245
Gastgewerbe und Catering,ZH,EBA,68,0,68,36,0,36,32,0,32
Gastgewerbe und Catering,ZH,nReglementiert,0,0,0,0,0,0,0,0,0
Gastgewerbe und Catering,BE,abt-total,499,0,499,241,0,241,258,0,258
Gastgewerbe und Catering,BE,EFZ,431,0,431,201,0,201,230,0,230
Gastgewerbe und Catering,BE,EBA,68,0,68,40,0,40,28,0,28
Gastgewerbe und Catering,BE,nReglementiert,0,0,0,0,0,0,0,0,0
Gastgewerbe und Catering,LU,abt-total,178,0,178,77,0,77,101,0,101
Gastgewerbe und Catering,LU,EFZ,150,0,150,68,0,68,82,0,82
Gastgewerbe und Catering,LU,EBA,28,0,28,9,0,9,19,0,19
Gastgewerbe und Catering,LU,nReglementiert,0,0,0,0,0,0,0,0,0
Gastgewerbe und Catering,UR,abt-total,9,0,9,3,0,3,6,0,6
Gastgewerbe und Catering,UR,EFZ,9,0,9,3,0,3,6,0,6
Gastgewerbe und Catering,UR,EBA,0,0,0,0,0,0,0,0,0
Gastgewerbe und Catering,UR,nReglementiert,0,0,0,0,0,0,0,0,0
Gastgewerbe und Catering,SZ,abt-total,64,0,64,25,0,25,39,0,39
Gastgewerbe und Catering,SZ,EFZ,62,0,62,24,0,24,38,0,38
Gastgewerbe und Catering,SZ,EBA,2,0,2,1,0,1,1,0,1
Gastgewerbe und Catering,SZ,nReglementiert,0,0,0,0,0,0,0,0,0
Gastgewerbe und Catering,OW,abt-total,28,0,28,12,0,12,16,0,16
Gastgewerbe und Catering,OW,EFZ,22,0,22,11,0,11,11,0,11
Gastgewerbe und Catering,OW,EBA,6,0,6,1,0,1,5,0,5
Gastgewerbe und Catering,OW,nReglementiert,0,0,0,0,0,0,0,0,0
Gastgewerbe und Catering,NW,abt-total,28,0,28,9,0,9,19,0,19
Gastgewerbe und Catering,NW,EFZ,26,0,26,8,0,8,18,0,18
Gastgewerbe und Catering,NW,EBA,2,0,2,1,0,1,1,0,1
Gastgewerbe und Catering,NW,nReglementiert,0,0,0,0,0,0,0,0,0
Gastgewerbe und Catering,GL,abt-total,21,0,21,14,0,14,7,0,7
Gastgewerbe und Catering,GL,EFZ,18,0,18,11,0,11,7,0,7
Gastgewerbe und Catering,GL,EBA,3,0,3,3,0,3,0,0,0
Gastgewerbe und Catering,GL,nReglementiert,0,0,0,0,0,0,0,0,0
Gastgewerbe und Catering,ZG,abt-total,65,0,65,36,0,36,29,0,29
Gastgewerbe und Catering,ZG,EFZ,54,0,54,30,0,30,24,0,24
Gastgewerbe und Catering,ZG,EBA,11,0,11,6,0,6,5,0,5
Gastgewerbe und Catering,ZG,nReglementiert,0,0,0,0,0,0,0,0,0
Gastgewerbe und Catering,FR,abt-total,122,0,122,61,0,61,61,0,61
Gastgewerbe und Catering,FR,EFZ,102,0,102,55,0,55,47,0,47
Gastgewerbe und Catering,FR,EBA,20,0,20,6,0,6,14,0,14
Gastgewerbe und Catering,FR,nReglementiert,0,0,0,0,0,0,0,0,0
Gastgewerbe und Catering,SO,abt-total,125,0,125,55,0,55,70,0,70
Gastgewerbe und Catering,SO,EFZ,94,0,94,43,0,43,51,0,51
Gastgewerbe und Catering,SO,EBA,31,0,31,12,0,12,19,0,19
Gastgewerbe und Catering,SO,nReglementiert,0,0,0,0,0,0,0,0,0
Gastgewerbe und Catering,BS,abt-total,98,0,98,57,0,57,41,0,41
Gastgewerbe und Catering,BS,EFZ,81,0,81,47,0,47,34,0,34
Gastgewerbe und Catering,BS,EBA,17,0,17,10,0,10,7,0,7
Gastgewerbe und Catering,BS,nReglementiert,0,0,0,0,0,0,0,0,0
Gastgewerbe und Catering,BL,abt-total,97,0,97,61,0,61,36,0,36
Gastgewerbe und Catering,BL,EFZ,75,0,75,44,0,44,31,0,31
Gastgewerbe und Catering,BL,EBA,22,0,22,17,0,17,5,0,5
Gastgewerbe und Catering,Bl,nReglementiert,0,0,0,0,0,0,0,0,0
Gastgewerbe und Catering,SH,abt-total,43,0,43,27,0,27,16,0,16
Gastgewerbe und Catering,SH,EFZ,33,0,33,18,0,18,15,0,15
Gastgewerbe und Catering,SH,EBA,10,0,10,9,0,9,1,0,1
Gastgewerbe und Catering,SH,nReglementiert,0,0,0,0,0,0,0,0,0
Gastgewerbe und Catering,AR,abt-total,33,0,33,8,0,8,25,0,25
Gastgewerbe und Catering,AR,EFZ,29,0,29,8,0,8,21,0,21
Gastgewerbe und Catering,AR,EBA,4,0,4,0,0,0,4,0,4
Gastgewerbe und Catering,AR,nReglementiert,0,0,0,0,0,0,0,0,0
Gastgewerbe und Catering,AI,abt-total,12,0,12,4,0,4,8,0,8
Gastgewerbe und Catering,AI,EFZ,12,0,12,4,0,4,8,0,8
Gastgewerbe und Catering,AI,EBA,0,0,0,0,0,0,0,0,0
Gastgewerbe und Catering,AI,nReglementiert,0,0,0,0,0,0,0,0,0
Gastgewerbe und Catering,SG,abt-total,213,0,213,79,0,79,134,0,134
Gastgewerbe und Catering,SG,EFZ,187,0,187,66,0,66,121,0,121
Gastgewerbe und Catering,SG,EBA,26,0,26,13,0,13,13,0,13
Gastgewerbe und Catering,SG,nReglementiert,0,0,0,0,0,0,0,0,0
Gastgewerbe und Catering,GR,abt-total,138,0,138,49,0,49,89,0,89
Gastgewerbe und Catering,GR,EFZ,123,0,123,43,0,43,80,0,80
Gastgewerbe und Catering,GR,EBA,15,0,15,6,0,6,9,0,9
Gastgewerbe und Catering,GR,nReglementiert,0,0,0,0,0,0,0,0,0
Gastgewerbe und Catering,AG,abt-total,211,0,211,98,0,98,113,0,113
Gastgewerbe und Catering,AG,EFZ,172,0,172,77,0,77,95,0,95
Gastgewerbe und Catering,AG,EBA,39,0,39,21,0,21,18,0,18
Gastgewerbe und Catering,AG,nReglementiert,0,0,0,0,0,0,0,0,0
Gastgewerbe und Catering,TG,abt-total,112,0,112,49,0,49,63,0,63
Gastgewerbe und Catering,TG,EFZ,92,0,92,38,0,38,54,0,54
Gastgewerbe und Catering,TG,EBA,20,0,20,11,0,11,9,0,9
Gastgewerbe und Catering,TG,nReglementiert,0,0,0,0,0,0,0,0,0
Gastgewerbe und Catering,TI,abt-total,99,1,98,68,0,68,31,1,30
Gastgewerbe und Catering,TI,EFZ,75,0,75,55,0,55,20,0,20
Gastgewerbe und Catering,TI,EBA,24,1,23,13,0,13,11,1,10
Gastgewerbe und Catering,TI,nReglementiert,0,0,0,0,0,0,0,0,0
Gastgewerbe und Catering,VD,abt-total,247,0,247,140,0,140,107,0,107
Gastgewerbe und Catering,VD,EFZ,207,0,207,115,0,115,92,0,92
Gastgewerbe und Catering,VD,EBA,40,0,40,25,0,25,15,0,15
Gastgewerbe und Catering,VD,nReglementiert,0,0,0,0,0,0,0,0,0
Gastgewerbe und Catering,VS,abt-total,112,0,112,55,0,55,57,0,57
Gastgewerbe und Catering,VS,EFZ,87,0,87,42,0,42,45,0,45
Gastgewerbe und Catering,VS,EBA,25,0,25,13,0,13,12,0,12
Gastgewerbe und Catering,VS,nReglementiert,0,0,0,0,0,0,0,0,0
Gastgewerbe und Catering,NE,abt-total,66,0,66,43,0,43,23,0,23
Gastgewerbe und Catering,NE,EFZ,61,0,61,40,0,40,21,0,21
Gastgewerbe und Catering,NE,EBA,5,0,5,3,0,3,2,0,2
Gastgewerbe und Catering,NE,nReglementiert,0,0,0,0,0,0,0,0,0
Gastgewerbe und Catering,GE,abt-total,104,0,104,71,0,71,33,0,33
Gastgewerbe und Catering,GE,EFZ,76,0,76,49,0,49,27,0,27
Gastgewerbe und Catering,GE,EBA,28,0,28,22,0,22,6,0,6
Gastgewerbe und Catering,GE,nReglementiert,0,0,0,0,0,0,0,0,0
Gastgewerbe und Catering,JU,abt-total,22,0,22,15,0,15,7,0,7
Gastgewerbe und Catering,JU,EFZ,20,0,20,13,0,13,7,0,7
Gastgewerbe und Catering,JU,EBA,2,0,2,2,0,2,0,0,0
Gastgewerbe und Catering,JU,nReglementiert,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",,abt-total,33,31,2,9,8,1,24,23,1
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",,EFZ,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",,EBA,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",,nReglementiert,33,31,2,9,8,1,24,23,1
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",ZH,abt-total,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",ZH,EFZ,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",ZH,EBA,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",ZH,nReglementiert,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",BE,abt-total,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",BE,EFZ,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",BE,EBA,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",BE,nReglementiert,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",LU,abt-total,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",LU,EFZ,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",LU,EBA,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",LU,nReglementiert,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",UR,abt-total,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",UR,EFZ,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",UR,EBA,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",UR,nReglementiert,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",SZ,abt-total,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",SZ,EFZ,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",SZ,EBA,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",SZ,nReglementiert,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",OW,abt-total,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",OW,EFZ,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",OW,EBA,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",OW,nReglementiert,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",NW,abt-total,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",NW,EFZ,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",NW,EBA,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",NW,nReglementiert,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",GL,abt-total,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",GL,EFZ,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",GL,EBA,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",GL,nReglementiert,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",ZG,abt-total,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",ZG,EFZ,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",ZG,EBA,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",ZG,nReglementiert,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",FR,abt-total,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",FR,EFZ,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",FR,EBA,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",FR,nReglementiert,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",SO,abt-total,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",SO,EFZ,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",SO,EBA,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",SO,nReglementiert,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",BS,abt-total,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",BS,EFZ,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",BS,EBA,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",BS,nReglementiert,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",BL,abt-total,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",BL,EFZ,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",BL,EBA,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",Bl,nReglementiert,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",SH,abt-total,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",SH,EFZ,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",SH,EBA,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",SH,nReglementiert,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",AR,abt-total,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",AR,EFZ,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",AR,EBA,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",AR,nReglementiert,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",AI,abt-total,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",AI,EFZ,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",AI,EBA,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",AI,nReglementiert,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",SG,abt-total,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",SG,EFZ,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",SG,EBA,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",SG,nReglementiert,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",GR,abt-total,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",GR,EFZ,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",GR,EBA,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",GR,nReglementiert,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",AG,abt-total,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",AG,EFZ,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",AG,EBA,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",AG,nReglementiert,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",TG,abt-total,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",TG,EFZ,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",TG,EBA,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",TG,nReglementiert,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",TI,abt-total,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",TI,EFZ,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",TI,EBA,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",TI,nReglementiert,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",VD,abt-total,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",VD,EFZ,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",VD,EBA,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",VD,nReglementiert,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",VS,abt-total,33,31,2,9,8,1,24,23,1
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",VS,EFZ,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",VS,EBA,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",VS,nReglementiert,33,31,2,9,8,1,24,23,1
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",NE,abt-total,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",NE,EFZ,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",NE,EBA,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",NE,nReglementiert,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",GE,abt-total,0,0,0,0,0,0,0,0,0
"Reiseb�ros, Fremdenverkehrgewerbe und Freizeitindustrie",GE,EFZ,0,0,0,0,0,0,0,0,0
